movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rated_day,user_rated_month,user_rated_year,user_rating,user_url
7874,"7,3",118 187,Moulin Rouge!,2001,16,4,2020,8,https://www.filmweb.pl/user/Dr_Marvel/films?page=1
282892,"7,2",143 719,Życie Pi,2012,16,4,2020,5,https://www.filmweb.pl/user/Dr_Marvel/films?page=1
9190,"7,7",186 533,Rocky,1976,16,4,2020,8,https://www.filmweb.pl/user/Dr_Marvel/films?page=1
513794,"7,1",75 088,Irlandczyk,2019,5,3,2020,7,https://www.filmweb.pl/user/nelii_113/films?page=1
426597,"7,7",429 206,Wilk z Wall Street,2013,31,7,2015,8,https://www.filmweb.pl/user/Andrew107/films?page=1
661817,"7,8",244 001,Grand Budapest Hotel,2014,31,7,2015,8,https://www.filmweb.pl/user/Andrew107/films?page=1
1093,"8,1",336 784,Zapach kobiety,1992,31,7,2015,8,https://www.filmweb.pl/user/Andrew107/films?page=1
36447,"7,7",266 391,Ostatni samuraj,2003,26,4,2020,7,https://www.filmweb.pl/user/filiphancke/films?page=1
181220,"7,3",295 681,Transformers,2007,26,4,2020,6,https://www.filmweb.pl/user/filiphancke/films?page=1
980,"7,8",272 582,"Obcy - 8. pasażer ""Nostromo""",1979,26,4,2020,9,https://www.filmweb.pl/user/filiphancke/films?page=1
1326,"8,0",240 164,Przekręt,2000,7,1,2018,8,https://www.filmweb.pl/user/alexandras1997/films?page=1
767406,"7,9",191 508,"Trzy billboardy za Ebbing, Missouri",2017,23,4,2020,9,https://www.filmweb.pl/user/Koscik97/films?page=1
664897,"5,7",24 088,Hardkor Disko,2014,23,4,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
325831,"7,0",26 546,Sztuczki,2007,18,4,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
830216,"6,4",567,Guava Island,2019,12,4,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
619201,"8,0",178 240,Bohemian Rhapsody,2018,16,11,2018,8,https://www.filmweb.pl/user/greyshh/films?page=1
764039,"7,7",107 251,Zimna wojna,2018,20,10,2018,8,https://www.filmweb.pl/user/greyshh/films?page=1
594358,"6,7",125 895,Czarna Pantera,2018,26,4,2020,7,https://www.filmweb.pl/user/piotrek_cyran/films?page=1
722146,"7,6",149 465,Strażnicy Galaktyki vol. 2,2017,25,4,2020,4,https://www.filmweb.pl/user/piotrek_cyran/films?page=1
482376,"7,3",178 332,Doktor Strange,2016,25,4,2020,3,https://www.filmweb.pl/user/piotrek_cyran/films?page=1
736144,"6,7",13 641,Między nami kosmos,2017,20,4,2018,6,https://www.filmweb.pl/user/greenzuz/films?page=1
788756,"6,4",3 267,Żona czy mąż?,2017,2,3,2018,7,https://www.filmweb.pl/user/greenzuz/films?page=1
756152,"7,8",78 555,Obdarowani,2017,24,1,2018,8,https://www.filmweb.pl/user/greenzuz/films?page=1
107855,"7,3",138 845,Zakochany bez pamięci,2004,9,4,2020,4,https://www.filmweb.pl/user/AoiYuno/films?page=1
233601,"7,8",3 568,Usłyszcie mój krzyk,1991,1,4,2020,8,https://www.filmweb.pl/user/AoiYuno/films?page=1
316686,"6,0",199 432,"Job, czyli ostatnia szara komórka",2006,16,4,2020,3,https://www.filmweb.pl/user/Dr_Marvel/films?page=1
525620,"7,2",102 356,W ciemności,2011,16,4,2020,8,https://www.filmweb.pl/user/Dr_Marvel/films?page=1
80,"7,3",218 044,Kiler-ów 2-óch,1999,16,4,2020,7,https://www.filmweb.pl/user/Dr_Marvel/films?page=1
736723,"7,1",32 950,Kraina lodu II,2019,5,3,2020,9,https://www.filmweb.pl/user/nelii_113/films?page=1
836600,"7,3",92 393,Dwóch papieży,2019,5,3,2020,8,https://www.filmweb.pl/user/nelii_113/films?page=1
818090,"7,4",89 032,Historia małżeńska,2019,5,3,2020,9,https://www.filmweb.pl/user/nelii_113/films?page=1
743496,"6,9",83 796,Kingsman: Złoty Krąg,2017,22,3,2020,8,https://www.filmweb.pl/user/escoutiq/films?page=1
564967,"5,2",51 251,Dzień Niepodległości: Odrodzenie,2016,22,4,2020,1,https://www.filmweb.pl/user/Ireri/films?page=1
500891,"8,3",581 359,Incepcja,2010,31,7,2015,9,https://www.filmweb.pl/user/Andrew107/films?page=1
583390,"8,7",640 957,Nietykalni,2011,31,7,2015,10,https://www.filmweb.pl/user/Andrew107/films?page=1
998,"8,5",950 349,Forrest Gump,1994,30,7,2015,9,https://www.filmweb.pl/user/Andrew107/films?page=1
331014,"7,9",286 150,Jak wytresować smoka,2010,26,4,2020,8,https://www.filmweb.pl/user/filiphancke/films?page=1
9695,"6,7",320 070,Spider-Man,2002,26,4,2020,7,https://www.filmweb.pl/user/filiphancke/films?page=1
539509,"6,3",298 546,Sala samobójców,2011,26,4,2020,6,https://www.filmweb.pl/user/filiphancke/films?page=1
240046,"8,1",256 596,W pogoni za szczęściem,2006,7,1,2018,8,https://www.filmweb.pl/user/alexandras1997/films?page=1
259945,"8,1",373 614,Prestiż,2006,7,1,2018,8,https://www.filmweb.pl/user/alexandras1997/films?page=1
671,"8,1",811 148,Leon zawodowiec,1994,7,1,2018,7,https://www.filmweb.pl/user/alexandras1997/films?page=1
506803,"7,2",284 545,Poradnik pozytywnego myślenia,2012,23,4,2020,8,https://www.filmweb.pl/user/Koscik97/films?page=1
32225,"8,3",577 176,Pianista,2002,15,4,2020,9,https://www.filmweb.pl/user/Koscik97/films?page=1
707970,"7,8",155 691,Thor: Ragnarok,2017,30,6,2018,7,https://www.filmweb.pl/user/Koscik97/films?page=1
629125,"7,0",78 269,Boyhood,2014,28,3,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
842425,"4,4",65 087,W lesie dziś nie zaśnie nikt,2020,23,3,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
30388,"7,3",70 490,Malena,2000,19,3,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
810402,"7,0",173 235,Kler,2018,12,10,2018,7,https://www.filmweb.pl/user/greyshh/films?page=1
745754,"6,9",53 205,McImperium,2016,24,6,2018,4,https://www.filmweb.pl/user/greyshh/films?page=1
637247,"7,2",190 414,Avengers: Czas Ultrona,2015,24,4,2020,7,https://www.filmweb.pl/user/piotrek_cyran/films?page=1
706209,"7,5",164 484,Kapitan Ameryka: Wojna bohaterów,2016,24,4,2020,5,https://www.filmweb.pl/user/piotrek_cyran/films?page=1
257691,"7,0",148 381,Ant-Man,2015,24,4,2020,6,https://www.filmweb.pl/user/piotrek_cyran/films?page=1
