movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rated_day,user_rated_month,user_rated_year,user_rating,user_url
467482,"7,5",29 918,Biała wstążka,2009,27,2,2020,8,https://www.filmweb.pl/user/Zohelka/films?page=1
127710,"6,2",105,Mężczyźni,1969,25,2,2020,0,https://www.filmweb.pl/user/Zohelka/films?page=1
11463,"7,8",41 613,Vincent,1982,18,4,2019,0,https://www.filmweb.pl/user/AoiYuno/films?page=1
505014,"7,1",107 955,"Zostań, jeśli kochasz",2014,12,3,2019,7,https://www.filmweb.pl/user/AoiYuno/films?page=1
432908,"7,2",48 734,Wątpliwość,2008,10,3,2019,0,https://www.filmweb.pl/user/AoiYuno/films?page=1
751864,"6,3",15 680,Moje wielkie greckie wesele 2,2016,18,4,2017,7,https://www.filmweb.pl/user/Juliette97/films?page=1
738476,"6,5",54 084,Dlaczego on?,2016,13,4,2017,7,https://www.filmweb.pl/user/Juliette97/films?page=1
464734,"6,3",6 151,Prywatne życie Pippy Lee,2009,20,2,2017,8,https://www.filmweb.pl/user/Juliette97/films?page=1
688269,"6,2",135,Odwiedziny,2013,25,2,2020,7,https://www.filmweb.pl/user/Zohelka/films?page=1
718917,"5,8",228,21 dni,2014,24,2,2020,6,https://www.filmweb.pl/user/Zohelka/films?page=1
716564,"6,4",491,Punkt wyjścia,2014,24,2,2020,6,https://www.filmweb.pl/user/Zohelka/films?page=1
1413,"7,6",28 872,Gia,1998,22,2,2019,6,https://www.filmweb.pl/user/AoiYuno/films?page=1
19,"7,2",25 740,Boogie Nights,1997,20,2,2019,8,https://www.filmweb.pl/user/AoiYuno/films?page=1
114292,"6,6",49 944,Stowarzyszenie Wędrujących Dżinsów,2005,19,2,2017,6,https://www.filmweb.pl/user/Juliette97/films?page=1
31864,"8,3",480 129,Piękny umysł,2001,8,1,2017,10,https://www.filmweb.pl/user/Juliette97/films?page=1
