,movie_title,movie_year,movie_rating_avg,movie_rating_no,user_rated_date,user_rating,movie_id,user
85,Whiplash,2014,"8,1",272 472,30 lipca 2016,8,698847,Kamilmac
86,Wyspa tajemnic,2010,"8,2",551 323,30 lipca 2016,9,464256,Kamilmac
87,Incepcja,2010,"8,3",579 070,30 lipca 2016,9,500891,Kamilmac
88,Django,2012,"8,3",460 332,30 lipca 2016,7,620541,Kamilmac
89,Bogowie,2014,"8,0",324 133,30 lipca 2016,8,694378,Kamilmac
90,Dwunastu gniewnych ludzi,1957,"8,7",205 456,30 lipca 2016,7,30701,Kamilmac
91,Życie jest piękne,1997,"8,4",269 739,30 lipca 2016,8,208,Kamilmac
92,Nietykalni,2011,"8,7",638 102,30 lipca 2016,9,583390,Kamilmac
93,Piraci z Karaibów: Klątwa Czarnej Perły,2003,"7,7",709 772,30 lipca 2016,8,37309,Kamilmac
94,Gra,1997,"7,9",196 994,30 lipca 2016,10,62,Kamilmac
95,Pulp Fiction,1994,"8,3",632 495,30 lipca 2016,7,1039,Kamilmac
96,Milczenie owiec,1991,"8,2",652 842,30 lipca 2016,9,1047,Kamilmac
97,Ojciec chrzestny,1972,"8,6",513 211,30 lipca 2016,7,1089,Kamilmac
98,Epoka lodowcowa,2002,"7,6",476 685,30 lipca 2016,7,32014,Kamilmac
99,Titanic,1997,"7,3",753 270,30 lipca 2016,5,187,Kamilmac
100,Zielona mila,1999,"8,6",961 388,30 lipca 2016,7,862,Kamilmac
101,Shrek,2001,"7,8",802 676,30 lipca 2016,8,9509,Kamilmac
102,Szósty zmysł,1999,"7,8",614 663,30 lipca 2016,9,825,Kamilmac
103,Król Lew,1994,"8,2",550 315,30 lipca 2016,8,6878,Kamilmac
104,Podziemny krąg,1999,"8,3",583 382,30 lipca 2016,10,837,Kamilmac
105,Seksmisja,1983,"7,8",639 494,30 lipca 2016,8,1163,Kamilmac
106,Matrix,1999,"7,5",798 259,30 lipca 2016,7,628,Kamilmac
107,Władca Pierścieni: Drużyna Pierścienia,2001,"8,0",696 966,30 lipca 2016,6,1065,Kamilmac
108,Kod da Vinci,2006,"6,7",561 306,30 lipca 2016,6,124613,Kamilmac
109,Forrest Gump,1994,"8,5",947 831,30 lipca 2016,10,998,Kamilmac
110,Siedem,1995,"8,3",573 727,30 lipca 2016,9,702,Kamilmac
111,Pianista,2002,"8,3",575 437,30 lipca 2016,9,32225,Kamilmac
112,Bruce Wszechmogący,2003,"6,9",472 065,30 lipca 2016,7,37889,Kamilmac
0,West Side Story,1961,"7,2",12 408,2 stycznia,8,30726,greyshh
1,(Nie)znajomi,2019,"7,0",29 585,20 października 2019,8,830289,greyshh
2,Pralnia,2019,"5,8",15 347,20 października 2019,4,828798,greyshh
3,Blues Brothers,1980,"7,6",98 134,15 lutego 2019,8,1225,greyshh
4,Planeta Singli 3,2019,"6,1",39 630,15 lutego 2019,7,814592,greyshh
5,Miszmasz czyli Kogel Mogel 3,2019,"4,8",31 577,15 lutego 2019,6,814945,greyshh
6,Narodziny gwiazdy,2018,"7,5",153 949,18 stycznia 2019,6,542576,greyshh
7,Bohemian Rhapsody,2018,"8,0",175 321,16 listopada 2018,8,619201,greyshh
8,Zimna wojna,2018,"7,7",106 119,20 października 2018,8,764039,greyshh
9,Kler,2018,"7,1",168 657,12 października 2018,7,810402,greyshh
10,McImperium,2016,"6,9",52 940,24 czerwca 2018,4,745754,greyshh
11,"W starym, dobrym stylu",2017,"7,0",86 768,24 czerwca 2018,5,744484,greyshh
12,Wszystko na sprzedaż,1968,"7,3",5 168,9 czerwca 2018,,1119,greyshh
13,Atak paniki,2017,"5,9",31 632,8 czerwca 2018,7,772805,greyshh
14,Pokolenie pieniądza,2018,"7,1",638,17 maja 2018,7,807201,greyshh
15,Czyściciele internetu,2018,"6,7",1 740,13 maja 2018,6,798016,greyshh
16,Baby Driver,2017,"7,1",162 047,22 kwietnia 2018,5,736411,greyshh
17,Przypadek,1981,"8,0",37 793,22 kwietnia 2018,8,897,greyshh
18,Smak życia 2,2005,"6,7",5 595,14 kwietnia 2018,7,144837,greyshh
19,Smak życia,2002,"7,0",14 773,7 kwietnia 2018,7,94359,greyshh
20,"Smak życia 3, czyli chińska układanka",2013,"6,4",3 456,31 marca 2018,8,631373,greyshh
21,Żyć nie umierać,2015,"6,1",18 632,31 marca 2018,6,730099,greyshh
22,Pitbull. Ostatni pies,2018,"6,6",69 940,29 marca 2018,7,795063,greyshh
23,Szaleństwa młodości,1996,"6,9",3 397,26 lutego 2018,6,610,greyshh
24,Bezsenność,2002,"7,2",80 536,25 lutego 2018,7,32616,greyshh
25,American Hustle,2013,"6,7",133 613,25 lutego 2018,7,611322,greyshh
26,Masz wiadomość,1998,"6,8",150 599,24 lutego 2018,7,112,greyshh
27,Niebezpieczne związki,1988,"7,8",45 849,24 lutego 2018,9,1017,greyshh
28,Godziny,2002,"7,3",101 303,24 lutego 2018,5,32380,greyshh
29,Sierpień w hrabstwie Osage,2013,"7,3",92 654,23 lutego 2018,8,600590,greyshh
30,Sposób na teściową,2005,"6,6",82 061,23 lutego 2018,7,107311,greyshh
31,American Gangster,2007,"7,8",188 472,23 lutego 2018,7,130130,greyshh
32,To nie jest kraj dla starych ludzi,2007,"7,6",210 582,23 lutego 2018,,259289,greyshh
33,Harry Potter i Insygnia Śmierci: Część I,2010,"7,5",299 746,23 lutego 2018,,396969,greyshh
34,300,2006,"7,5",382 526,23 lutego 2018,8,163597,greyshh
35,Hobbit: Pustkowie Smauga,2013,"7,6",302 442,23 lutego 2018,7,469867,greyshh
36,Hobbit: Niezwykła podróż,2012,"7,6",376 209,23 lutego 2018,7,343217,greyshh
37,Piraci z Karaibów: Na krańcu świata,2007,"7,7",374 303,23 lutego 2018,8,121760,greyshh
38,Co ty wiesz o swoim dziadku?,2016,"6,3",110 879,22 lutego 2018,2,723658,greyshh
39,Zgon na pogrzebie,2007,"7,1",71 370,22 lutego 2018,7,322573,greyshh
40,American Pie: Zjazd absolwentów,2012,"6,8",132 600,22 lutego 2018,5,593914,greyshh
41,Bridget Jones 3,2016,"7,2",128 273,21 lutego 2018,7,550879,greyshh
42,Piękna i Bestia,2017,"7,2",129 175,21 lutego 2018,5,736788,greyshh
43,Everest. Przesunąć horyzont,2007,"7,2",1 057,3 lutego 2018,,625794,greyshh
44,Ostatnia rodzina,2016,"7,7",109 371,26 stycznia 2018,8,735683,greyshh
45,Boska Florence,2016,"6,9",53 772,14 stycznia 2018,6,731317,greyshh
46,Happy Olo – pogodna ballada o Olku Dobie,2017,"7,0",482,7 stycznia 2018,6,785779,greyshh
47,Niebiańska plaża,2000,"6,8",87 012,1 grudnia 2017,7,865,greyshh
48,Powiększenie,1966,"7,7",31 128,22 listopada 2017,8,33008,greyshh
49,Ex Machina,2015,"7,3",178 222,9 listopada 2017,6,686419,greyshh
50,The Beatles,1964,"7,8",4 841,7 listopada 2017,7,33198,greyshh
51,Mężowie i żony,1992,"7,3",7 544,1 listopada 2017,8,6265,greyshh
52,Body/Ciało,2015,"6,3",54 881,13 września 2017,5,714087,greyshh
53,Dzięcioł,1970,"6,8",4 645,7 sierpnia 2017,7,5281,greyshh
54,Alibi.com,2017,"6,8",25 539,27 lipca 2017,5,776064,greyshh
55,Volta,2017,"5,3",31 075,13 lipca 2017,8,775220,greyshh
56,Królowa Hiszpanii,2016,"5,6",1 970,10 lipca 2017,5,667600,greyshh
57,Nadzór,1983,"7,4",2 392,7 lipca 2017,8,7991,greyshh
58,Baywatch. Słoneczny patrol,2017,"6,0",78 365,19 czerwca 2017,9,224731,greyshh
59,Holiday,2006,"7,2",183 412,14 czerwca 2017,7,261979,greyshh
60,K-PAX,2001,"7,6",320 687,10 czerwca 2017,7,31831,greyshh
61,Sztuka kochania. Historia Michaliny Wisłockiej,2017,"7,4",112 726,1 czerwca 2017,8,763312,greyshh
62,Bez wstydu,2012,"5,4",30 595,16 maja 2017,5,650399,greyshh
63,Dobrze się kłamie w miłym towarzystwie,2016,"7,7",156 935,14 maja 2017,7,752725,greyshh
64,#WSZYSTKOGRA,2016,"4,2",11 225,9 maja 2017,5,751665,greyshh
65,Lepiej późno niż później,2003,"7,0",130 980,29 kwietnia 2017,6,105173,greyshh
66,Step Up - Taniec zmysłów,2006,"7,0",218 427,18 kwietnia 2017,7,318672,greyshh
67,Mulan,1998,"7,7",151 347,2 kwietnia 2017,9,539,greyshh
68,Obiecaj mi!,2007,"7,3",10 608,31 marca 2017,,288488,greyshh
69,"Co mi zrobisz, jak mnie złapiesz",1978,"7,5",73 401,26 marca 2017,6,1114,greyshh
70,Kingsajz,1987,"7,3",95 622,19 marca 2017,7,1140,greyshh
71,Przesłuchanie,1982,"8,0",50 817,18 marca 2017,10,1200,greyshh
72,To tylko seks,2011,"6,7",204 724,17 marca 2017,7,587358,greyshh
73,Hydrozagadka,1970,"7,6",35 885,25 lutego 2017,6,6271,greyshh
74,Wyścig,2001,"6,2",17 487,12 lutego 2017,7,5201,greyshh
75,How To Change The World,2015,"7,5",213,8 lutego 2017,7,733366,greyshh
76,Cinema Paradiso,1988,"8,1",68 384,7 lutego 2017,8,8228,greyshh
77,Sami swoi,1967,"7,8",251 835,23 stycznia 2017,7,1113,greyshh
78,"Galimatias, czyli kogel-mogel II",1989,"7,1",74 731,21 stycznia 2017,8,1179,greyshh
79,Kogel-mogel,1988,"7,2",124 019,21 stycznia 2017,8,1178,greyshh
80,Mulan II,2004,"6,9",37 648,21 stycznia 2017,7,90341,greyshh
81,La La Land,2016,"7,3",169 283,19 stycznia 2017,9,718819,greyshh
82,Legion samobójców,2016,"6,2",211 290,16 stycznia 2017,4,725816,greyshh
83,Spotkania na krańcach świata,2007,"8,0",12 209,8 stycznia 2017,8,473987,greyshh
84,Cisza,2010,"6,5",13 403,29 grudnia 2016,5,572926,greyshh
85,Niewinni czarodzieje,1960,"7,9",14 289,16 grudnia 2016,9,898,greyshh
86,Nie lubię poniedziałku,1971,"7,6",100 450,11 grudnia 2016,7,901,greyshh
87,Ciemne miasto,2011,"6,4",35,6 grudnia 2016,6,644504,greyshh
88,Gra tajemnic,2014,"7,4",167 250,26 listopada 2016,8,644005,greyshh
89,Wielki Gatsby,2013,"7,3",225 568,21 listopada 2016,7,506934,greyshh
90,Pitbull. Niebezpieczne kobiety,2016,"6,5",159 897,19 listopada 2016,8,766551,greyshh
91,Inaczej niż w raju,1984,"7,6",10 961,19 listopada 2016,7,6426,greyshh
92,Tylko kochankowie przeżyją,2013,"7,2",68 201,17 listopada 2016,9,650619,greyshh
93,Projektantka,2015,"7,5",87 071,24 października 2016,6,702785,greyshh
