,movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rating,user_rated_date,user_name,user_page
69,722146,7.6,149465.0,Strażnicy Galaktyki vol. 2,2017,4,2020-04-25,piotrek_cyran,1
70,482376,7.3,178332.0,Doktor Strange,2016,3,2020-04-25,piotrek_cyran,1
71,736144,6.7,13641.0,Między nami kosmos,2017,6,2018-04-20,greenzuz,1
72,788756,6.4,3267.0,Żona czy mąż?,2017,7,2018-03-02,greenzuz,1
73,756152,7.8,78555.0,Obdarowani,2017,8,2018-01-24,greenzuz,1
74,107855,7.3,138845.0,Zakochany bez pamięci,2004,4,2020-04-09,AoiYuno,1
75,233601,7.8,3568.0,Usłyszcie mój krzyk,1991,8,2020-04-01,AoiYuno,1
76,316686,6.0,199432.0,"Job, czyli ostatnia szara komórka",2006,3,2020-04-16,Dr_Marvel,1
77,525620,7.2,102356.0,W ciemności,2011,8,2020-04-16,Dr_Marvel,1
78,80,7.3,218044.0,Kiler-ów 2-óch,1999,7,2020-04-16,Dr_Marvel,1
79,736723,7.1,32950.0,Kraina lodu II,2019,9,2020-03-05,nelii_113,1
80,836600,7.3,92393.0,Dwóch papieży,2019,8,2020-03-05,nelii_113,1
81,818090,7.4,89032.0,Historia małżeńska,2019,9,2020-03-05,nelii_113,1
82,743496,6.9,83796.0,Kingsman: Złoty Krąg,2017,8,2020-03-22,escoutiq,1
83,564967,5.2,51251.0,Dzień Niepodległości: Odrodzenie,2016,1,2020-04-22,Ireri,1
84,500891,8.3,581359.0,Incepcja,2010,9,2015-07-31,Andrew107,1
85,583390,8.7,640957.0,Nietykalni,2011,10,2015-07-31,Andrew107,1
86,998,8.5,950349.0,Forrest Gump,1994,9,2015-07-30,Andrew107,1
87,331014,7.9,286150.0,Jak wytresować smoka,2010,8,2020-04-26,filiphancke,1
88,9695,6.7,320070.0,Spider-Man,2002,7,2020-04-26,filiphancke,1
89,539509,6.3,298546.0,Sala samobójców,2011,6,2020-04-26,filiphancke,1
90,240046,8.1,256596.0,W pogoni za szczęściem,2006,8,2018-01-07,alexandras1997,1
91,259945,8.1,373614.0,Prestiż,2006,8,2018-01-07,alexandras1997,1
92,671,8.1,811148.0,Leon zawodowiec,1994,7,2018-01-07,alexandras1997,1
93,506803,7.2,284545.0,Poradnik pozytywnego myślenia,2012,8,2020-04-23,Koscik97,1
94,32225,8.3,577176.0,Pianista,2002,9,2020-04-15,Koscik97,1
95,707970,7.8,155691.0,Thor: Ragnarok,2017,7,2018-06-30,Koscik97,1
96,629125,7.0,78269.0,Boyhood,2014,0,2020-03-28,Bathorzak,1
97,842425,4.4,65087.0,W lesie dziś nie zaśnie nikt,2020,0,2020-03-23,Bathorzak,1
98,30388,7.3,70490.0,Malena,2000,0,2020-03-19,Bathorzak,1
99,810402,7.0,173235.0,Kler,2018,7,2018-10-12,greyshh,1
100,745754,6.9,53205.0,McImperium,2016,4,2018-06-24,greyshh,1
101,637247,7.2,190414.0,Avengers: Czas Ultrona,2015,7,2020-04-24,piotrek_cyran,1
102,706209,7.5,164484.0,Kapitan Ameryka: Wojna bohaterów,2016,5,2020-04-24,piotrek_cyran,1
103,257691,7.0,148381.0,Ant-Man,2015,6,2020-04-24,piotrek_cyran,1
104,656595,7.2,64665.0,Przeznaczenie,2014,9,2018-01-24,greenzuz,1
105,104546,6.7,31533.0,Tłumaczka,2005,8,2017-11-16,greenzuz,1
106,163283,7.1,803.0,Byczek Fernando,1938,8,2020-04-01,AoiYuno,1
107,651383,6.2,34990.0,Wróg,2013,3,2020-03-25,AoiYuno,1
108,829443,7.0,6197.0,Matthias i Maxime,2019,7,2020-03-08,AoiYuno,1
109,673946,7.4,128042.0,Jack Strong,2014,8,2020-04-16,Dr_Marvel,1
110,6722,6.8,232098.0,Kevin sam w Nowym Jorku,1992,8,2020-04-16,Dr_Marvel,1
111,271956,6.9,215775.0,Katyń,2007,8,2020-04-16,Dr_Marvel,1
112,810402,7.0,173235.0,Kler,2018,7,2020-03-05,nelii_113,1
113,998,8.5,950349.0,Forrest Gump,1994,9,2020-03-05,nelii_113,1
114,632733,7.5,36957.0,Toy Story 4,2019,7,2020-03-05,nelii_113,1
115,682272,7.3,184519.0,Kingsman: Tajne służby,2014,8,2020-03-03,escoutiq,1
116,846162,4.4,31755.0,Bad Boy,2020,6,2020-02-26,escoutiq,1
117,31471,6.8,4568.0,Heavy Metal,1981,6,2020-04-05,Ireri,1
118,842425,4.4,65087.0,W lesie dziś nie zaśnie nikt,2020,4,2020-03-24,Ireri,1
119,823960,6.2,23623.0,Yesterday,2019,1,2020-02-16,Ireri,1
120,698847,8.1,274413.0,Whiplash,2014,8,2015-07-30,Andrew107,1
121,476580,8.2,409970.0,Gran Torino,2008,9,2015-07-30,Andrew107,1
122,37311,7.4,331694.0,Troja,2004,7,2020-04-26,filiphancke,1
123,104541,7.1,330070.0,Charlie i fabryka czekolady,2005,7,2020-04-26,filiphancke,1
124,876,6.5,357569.0,American Pie,1999,6,2020-04-26,filiphancke,1
125,6878,8.2,551800.0,Król Lew,1994,10,2018-01-07,alexandras1997,1
126,620541,8.3,462551.0,Django,2012,7,2018-01-07,alexandras1997,1
127,744749,6.6,25021.0,"Kochając Pabla, nienawidząc Escobara",2017,7,2018-06-30,Koscik97,1
128,836,7.6,502788.0,American Beauty,1999,8,2018-02-26,Koscik97,1
129,743496,6.9,83796.0,Kingsman: Złoty Krąg,2017,6,2018-02-26,Koscik97,1
130,797598,6.3,4349.0,Ósma klasa,2018,0,2020-03-19,Bathorzak,1
131,810503,6.6,53265.0,7 uczuć,2018,0,2020-03-07,Bathorzak,1
132,829443,7.0,6197.0,Matthias i Maxime,2019,0,2020-03-01,Bathorzak,1
133,744484,7.0,87096.0,"W starym, dobrym stylu",2017,5,2018-06-24,greyshh,1
